run_id,target_name,model_name,model_family,prediction_kind,feature_set,pipeline_variant,feature_count,feature_names_json,hyperparameters_json,search_iterations,status
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,expert_team_game_consensus,baseline,team_game_baseline,team_game_consensus,none,1,"[""expert_ppg_team_game_median""]",{},0,diagnostic
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,expert_consensus_hybrid,baseline,baseline,consensus,none,2,"[""expert_ppg_team_game_median"", ""expert_ppg_active_median""]",{},0,incumbent
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,consensus_recalibrated_ridge,ridge,direct,calibration,raw,12,"[""expert_ppg_x_QB"", ""expert_ppg_x_RB"", ""expert_ppg_x_WR"", ""expert_ppg_x_TE"", ""expert_active_ppg_x_QB"", ""expert_active_ppg_x_RB"", ""expert_active_ppg_x_WR"", ""expert_active_ppg_x_TE"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]","{""ridge__alpha"":[1.0,10.0,100.0]}",4,challenger
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,residual_ridge_compact,ridge,residual,compact,raw,23,"[""expert_ppg_team_game_median"", ""expert_ppg_active_median"", ""expert_ppg_team_game_std"", ""projection_provider_count"", ""proj_games"", ""projection_adp_percentile_diff"", ""age"", ""year_exp"", ""is_rookie"", ""draft_pick_log"", ""career_weighted_ppg"", ""prior_year_ppg_residual"", ""prior_3year_ppg_std"", ""projected_rush_point_share"", ""projected_receiving_point_share"", ""consensus_room_share"", ""room_gap_to_leader_median"", ""team_qb1_ppg"", ""team_changed_from_prior_candidate"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]","{""ridge__alpha"":[1.0,10.0,100.0]}",4,challenger
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,residual_ridge_full,ridge,residual,full_manifest,raw,35,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]","{""ridge__alpha"":[1.0,10.0,100.0]}",4,challenger
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,residual_ridge_kbest,ridge,residual,full_manifest,kbest,35,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]","{""k_best__k"":[10,15,20],""ridge__alpha"":[1.0,10.0,100.0]}",4,challenger
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,residual_ridge_pca,ridge,residual,full_manifest,pca,35,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]","{""pca__n_components"":[8,12,16],""ridge__alpha"":[1.0,10.0,100.0]}",4,challenger
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,residual_ridge_agg,ridge,residual,full_manifest,agglomeration,35,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]","{""agglomeration__n_clusters"":[8,12,16],""ridge__alpha"":[1.0,10.0,100.0]}",4,challenger
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,residual_lgbm_shallow,lightgbm,residual,full_manifest,raw,35,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]","{""lgbm__colsample_bytree"":[0.8],""lgbm__learning_rate"":[0.03,0.05],""lgbm__max_depth"":[3,4],""lgbm__min_child_samples"":[20,40],""lgbm__n_estimators"":[100,200],""lgbm__num_leaves"":[7,15],""lgbm__reg_lambda"":[1.0,5.0],""lgbm__subsample"":[0.8]}",4,challenger
milestone_4a_20260728T050818Z_86b06f1f,conditional_ppg,direct_ridge_full,ridge,direct,full_manifest,raw,35,"[""adp_median"", ""age"", ""career_observed_seasons"", ""career_weighted_ppg"", ""consensus_room_share"", ""draft_pick_log"", ""expert_points_iqr"", ""expert_ppg_active_median"", ""expert_ppg_team_game_median"", ""expert_ppg_team_game_std"", ""is_rookie"", ""prior_3year_ppg_std"", ""prior_3year_weighted_ppg"", ""prior_year_ppg"", ""prior_year_ppg_residual"", ""proj_games"", ""proj_pass_attempts"", ""proj_rush_attempts"", ""proj_targets"", ""projected_pass_point_share"", ""projected_receiving_point_share"", ""projected_rush_point_share"", ""projection_adp_percentile_diff"", ""projection_provider_count"", ""room_gap_to_leader_median"", ""room_hhi_median"", ""room_share_median"", ""seasons_since_observed"", ""team_changed_from_prior_candidate"", ""team_qb1_ppg"", ""year_exp"", ""position_QB"", ""position_RB"", ""position_WR"", ""position_TE""]","{""ridge__alpha"":[1.0,10.0,100.0]}",4,challenger
